Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR2532374,RNA-Seq,102,3845500878,PRJNA297219,SAMN04122153,2739918480,MX1,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293347,GSM1897334,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:23:00Z,1,GSM1897334,breast cancer cell line,SRP064259
SRR2532375,RNA-Seq,102,5634359742,PRJNA297219,SAMN04122154,3992975498,OCUBM,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293348,GSM1897335,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:25:00Z,1,GSM1897335,breast cancer cell line,SRP064259
SRR2532376,RNA-Seq,102,3376138086,PRJNA297219,SAMN04122155,2293399606,SKBR3,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293349,GSM1897336,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:26:00Z,1,GSM1897336,breast cancer cell line,SRP064259
SRR2532377,RNA-Seq,102,4857973992,PRJNA297219,SAMN04122156,3469809277,SKBR5,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293350,GSM1897337,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:27:00Z,1,GSM1897337,breast cancer cell line,SRP064259
SRR2532378,RNA-Seq,102,3541114824,PRJNA297219,SAMN04122344,2476333138,SKBR7,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293351,GSM1897338,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:24:00Z,1,GSM1897338,breast cancer cell line,SRP064259
SRR2532379,RNA-Seq,102,4849527882,PRJNA297219,SAMN04122345,3299794512,SUM102,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293352,GSM1897339,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:28:00Z,1,GSM1897339,breast cancer cell line,SRP064259
SRR2532380,RNA-Seq,102,4438624248,PRJNA297219,SAMN04122346,3158582200,SUM1315,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293353,GSM1897340,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:25:00Z,1,GSM1897340,breast cancer cell line,SRP064259
SRR2532381,RNA-Seq,102,10254558168,PRJNA297219,SAMN04122347,7596599184,SUM149,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293354,GSM1897341,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:50:00Z,1,GSM1897341,breast cancer cell line,SRP064259
SRR2532382,RNA-Seq,102,9744466266,PRJNA297219,SAMN04122348,7205209745,SUM159,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293355,GSM1897342,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:37:00Z,1,GSM1897342,breast cancer cell line,SRP064259
SRR2532383,RNA-Seq,102,4171175352,PRJNA297219,SAMN04122349,2939447296,SUM185,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293356,GSM1897343,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:28:00Z,1,GSM1897343,breast cancer cell line,SRP064259
SRR2532384,RNA-Seq,102,5744650914,PRJNA297219,SAMN04122331,3924967273,SUM190,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293357,GSM1897344,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:30:00Z,1,GSM1897344,breast cancer cell line,SRP064259
SRR2532385,RNA-Seq,102,5734775274,PRJNA297219,SAMN04122332,4007216865,SUM225,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293358,GSM1897345,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:32:00Z,1,GSM1897345,breast cancer cell line,SRP064259
SRR2532386,RNA-Seq,102,4784842338,PRJNA297219,SAMN04122333,3350452623,SUM229,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293359,GSM1897346,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:30:00Z,1,GSM1897346,breast cancer cell line,SRP064259
SRR2532387,RNA-Seq,102,4157836914,PRJNA297219,SAMN04122334,2947793874,SUM44,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293360,GSM1897347,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:32:00Z,1,GSM1897347,breast cancer cell line,SRP064259
SRR2532388,RNA-Seq,102,3527324118,PRJNA297219,SAMN04122335,2492954394,SUM52,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293361,GSM1897348,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:30:00Z,1,GSM1897348,breast cancer cell line,SRP064259
SRR2532389,RNA-Seq,102,4150754952,PRJNA297219,SAMN04122336,2998971488,SW527,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293362,GSM1897349,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:36:00Z,1,GSM1897349,breast cancer cell line,SRP064259
SRR2532390,RNA-Seq,102,3578282910,PRJNA297219,SAMN04122337,2588203044,T47D,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293363,GSM1897350,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:30:00Z,1,GSM1897350,breast cancer cell line,SRP064259
SRR2532391,RNA-Seq,102,4499334954,PRJNA297219,SAMN04122338,3208832692,UACC3199,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293364,GSM1897351,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:36:00Z,1,GSM1897351,breast cancer cell line,SRP064259
SRR2532392,RNA-Seq,102,4641356490,PRJNA297219,SAMN04122339,3300561543,UACC812,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293365,GSM1897352,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:38:00Z,1,GSM1897352,breast cancer cell line,SRP064259
SRR2532393,RNA-Seq,102,3785467758,PRJNA297219,SAMN04122340,2737833292,UACC893,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293366,GSM1897353,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:31:00Z,1,GSM1897353,breast cancer cell line,SRP064259
SRR2532394,RNA-Seq,102,4972286208,PRJNA297219,SAMN04122341,3585441823,ZR751,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293367,GSM1897354,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:33:00Z,1,GSM1897354,breast cancer cell line,SRP064259
SRR2532395,RNA-Seq,102,4187363874,PRJNA297219,SAMN04122342,2996117970,ZR7530,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293368,GSM1897355,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:35:00Z,1,GSM1897355,breast cancer cell line,SRP064259
SRR2532396,RNA-Seq,102,4055721450,PRJNA297219,SAMN04122343,2885773785,ZR75B,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293369,GSM1897356,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:33:00Z,1,GSM1897356,breast cancer cell line,SRP064259
